prestamo_id,cliente_id,tipo,monto_otorgado,tasa_anual,plazo_meses,fecha_otorgamiento,estado,provincia
P0332,C0575,Consumo,30000.0,1.29,12,2023-09-27,Al día,Buenos Aires
P0333,C0525,PyME,329000.0,1.48,48,2024-01-24,Al día,Rosario
P0334,C0323,Automotriz,280000.0,1.4,36,2023-10-09,30 días mora,Buenos Aires
P0335,C0574,Consumo,159000.0,1.71,48,2024-02-21,90+ días mora,Buenos Aires
P0336,C0047,PyME,46000.0,1.25,36,2023-12-25,Al día,Buenos Aires
P0337,C0941,Consumo,221000.0,0.86,24,2024-11-26,Al día,CABA
P0338,C0729,Personal,647000.0,1.66,48,2023-11-30,Al día,Mendoza
P0339,C0462,Automotriz,57000.0,1.62,24,2024-12-23,Al día,Santa Fe
P0340,C0799,Consumo,56000.0,1.49,24,2024-10-01,Al día,Tucumán
P0341,C0609,Hipotecario,529000.0,1.52,12,2023-01-31,Al día,Córdoba
P0342,C0487,Automotriz,2050000.0,1.77,36,2023-03-04,Al día,CABA
P0343,C0283,Hipotecario,52000.0,0.95,12,2023-05-13,Al día,Tucumán
P0344,C0021,Hipotecario,41000.0,1.6,24,2024-09-24,Al día,Buenos Aires
P0345,C0813,Hipotecario,25000.0,1.02,60,2023-03-28,Al día,CABA
P0346,C0104,Consumo,226000.0,1.63,24,2023-11-18,Al día,Buenos Aires
P0347,C0234,PyME,424000.0,1.03,36,2023-08-08,Al día,Buenos Aires
P0348,C0717,Hipotecario,160000.0,0.92,36,2024-10-07,Al día,Tucumán
P0349,C0282,PyME,359000.0,1.18,24,2023-10-11,90+ días mora,CABA
P0350,C0892,PyME,28000.0,0.57,12,2024-05-29,Al día,CABA
P0351,C0724,Hipotecario,37000.0,1.67,12,2023-09-21,30 días mora,Buenos Aires
P0352,C0658,Personal,399000.0,1.38,24,2024-04-01,60 días mora,Buenos Aires
P0353,C0015,Personal,882000.0,1.67,24,2023-04-23,30 días mora,Buenos Aires
P0354,C0479,Hipotecario,608000.0,1.03,24,2024-06-28,Cancelado,CABA
P0355,C0344,Personal,128000.0,0.69,12,2023-05-19,Al día,Buenos Aires
P0356,C0350,Personal,26000.0,0.79,36,2023-10-22,Al día,Buenos Aires
P0357,C0087,Hipotecario,162000.0,1.34,24,2024-09-11,Al día,Buenos Aires
P0358,C0554,Consumo,38000.0,1.27,12,2024-08-30,Al día,Buenos Aires
P0359,C0213,Personal,87000.0,1.79,60,2023-12-16,30 días mora,Mendoza
P0360,C0870,PyME,471000.0,1.45,12,2024-12-06,60 días mora,Mendoza
P0361,C0187,Personal,953000.0,0.78,60,2024-10-30,30 días mora,Mendoza
P0362,C0290,Automotriz,161000.0,0.69,36,2024-06-19,Al día,Buenos Aires
P0363,C0669,Automotriz,16000.0,1.62,48,2024-03-28,Al día,Santa Fe
P0364,C0357,Hipotecario,395000.0,0.75,48,2024-01-11,90+ días mora,Buenos Aires
P0365,C0678,Automotriz,181000.0,0.58,48,2023-07-19,Al día,CABA
P0366,C0281,Consumo,857000.0,1.53,12,2023-01-04,Al día,Rosario
P0367,C0593,Hipotecario,222000.0,0.96,12,2024-05-26,Al día,Rosario
P0368,C0418,Hipotecario,349000.0,0.76,48,2024-05-23,Al día,CABA
P0369,C0508,Automotriz,1262000.0,1.71,24,2023-12-13,Al día,Tucumán
P0370,C0119,Automotriz,83000.0,0.8,12,2024-12-03,Al día,Mendoza
P0371,C0939,Consumo,403000.0,1.48,24,2023-03-12,Al día,CABA
P0372,C0012,Personal,115000.0,1.25,12,2024-08-05,Al día,Mendoza
P0373,C0869,Consumo,407000.0,0.98,12,2023-11-02,30 días mora,CABA
P0374,C0536,Consumo,264000.0,1.27,12,2023-10-09,90+ días mora,CABA
P0375,C0419,PyME,253000.0,1.71,36,2023-07-31,Al día,CABA
P0376,C0823,Automotriz,20000.0,1.65,12,2024-10-05,Al día,CABA
P0377,C0244,Automotriz,89000.0,1.64,48,2023-07-02,Al día,Buenos Aires
P0378,C0198,Automotriz,47000.0,1.07,60,2023-09-17,30 días mora,Rosario
P0379,C0601,Consumo,32000.0,1.69,60,2024-10-12,Al día,Santa Fe
P0380,C0318,Automotriz,108000.0,1.49,48,2024-12-26,30 días mora,Buenos Aires
P0381,C0134,Personal,600000.0,0.93,12,2024-11-25,Al día,Santa Fe
P0382,C0102,Automotriz,69000.0,1.03,12,2024-08-20,Al día,Buenos Aires
P0383,C0285,Hipotecario,291000.0,0.77,24,2024-01-18,Al día,Córdoba
P0384,C0909,Automotriz,174000.0,1.21,12,2024-04-22,30 días mora,Santa Fe
P0385,C0906,Automotriz,58000.0,0.58,60,2024-01-25,Al día,Buenos Aires
P0386,C0008,Personal,740000.0,1.18,60,2024-09-05,Al día,Mendoza
P0387,C0382,Automotriz,131000.0,1.34,36,2023-09-21,Cancelado,Córdoba
P0388,C0020,Consumo,36000.0,1.03,60,2023-07-23,Al día,CABA
P0389,C0792,Personal,435000.0,1.72,48,2023-02-01,Al día,CABA
P0390,C0703,Automotriz,412000.0,0.85,24,2024-09-13,Al día,Santa Fe
P0391,C0224,Hipotecario,54000.0,1.15,48,2023-12-26,Al día,Córdoba
P0392,C0503,Personal,559000.0,1.7,12,2023-03-25,Al día,CABA
P0393,C0121,Consumo,120000.0,1.54,12,2023-11-26,Al día,Buenos Aires
P0394,C0640,Hipotecario,340000.0,0.63,12,2023-06-04,Al día,Buenos Aires
P0395,C0822,Automotriz,48000.0,1.51,12,2024-11-29,90+ días mora,CABA
P0396,C0948,Personal,88000.0,1.48,48,2024-05-10,Al día,Córdoba
P0397,C0659,Personal,76000.0,0.59,60,2024-03-22,30 días mora,Santa Fe
P0398,C0293,Personal,353000.0,1.65,12,2023-03-03,90+ días mora,Buenos Aires
P0399,C0238,Personal,143000.0,1.24,12,2023-04-08,60 días mora,CABA
P0400,C0158,Hipotecario,84000.0,1.62,24,2023-10-15,Al día,Rosario
P0401,C0469,Automotriz,162000.0,1.7,24,2023-12-31,Al día,Santa Fe
P0402,C0278,Hipotecario,20000.0,0.55,48,2024-11-02,90+ días mora,Buenos Aires
P0403,C0391,Automotriz,52000.0,0.87,24,2024-07-06,Al día,Córdoba
P0404,C0377,Consumo,1401000.0,1.24,36,2024-02-28,90+ días mora,Córdoba
P0405,C0033,Personal,76000.0,1.65,12,2024-05-26,Al día,Santa Fe
P0406,C0393,PyME,159000.0,1.45,24,2023-06-24,Cancelado,Buenos Aires
P0407,C0361,Automotriz,154000.0,0.93,36,2023-05-26,60 días mora,Buenos Aires
P0408,C0242,Automotriz,440000.0,0.97,36,2024-10-22,Al día,Córdoba
P0409,C0076,Automotriz,403000.0,1.38,48,2023-05-25,Al día,CABA
P0410,C0904,Hipotecario,404000.0,1.54,48,2024-01-14,Al día,CABA
P0411,C0832,Automotriz,94000.0,1.7,48,2023-06-01,Al día,Buenos Aires
P0412,C0146,Consumo,762000.0,1.45,24,2023-03-11,Al día,Tucumán
P0413,C0139,Automotriz,472000.0,1.61,12,2023-01-17,Al día,Córdoba
P0414,C0974,Consumo,70000.0,1.38,36,2024-12-29,Al día,Santa Fe
P0415,C0627,Personal,142000.0,1.35,36,2024-06-22,Al día,Mendoza
P0416,C0962,Personal,36000.0,0.99,48,2023-03-10,Al día,Rosario
P0417,C0081,Consumo,134000.0,0.55,48,2024-09-09,Al día,Mendoza
P0418,C0434,Hipotecario,90000.0,1.26,24,2024-09-22,Al día,Buenos Aires
P0419,C0560,Personal,108000.0,1.29,48,2023-11-14,Al día,Santa Fe
P0420,C0751,Personal,304000.0,1.02,24,2024-03-31,60 días mora,CABA
P0421,C0252,Hipotecario,267000.0,1.22,60,2024-01-12,30 días mora,Santa Fe
P0422,C0256,Hipotecario,97000.0,0.67,12,2024-04-28,Al día,CABA
P0423,C0416,Automotriz,129000.0,0.95,36,2024-01-08,90+ días mora,Mendoza
P0424,C0197,Consumo,13000.0,1.07,12,2024-09-06,60 días mora,Mendoza
P0425,C0772,Personal,62000.0,1.2,48,2023-05-05,Al día,Buenos Aires
P0426,C0731,Personal,68000.0,1.41,36,2023-06-12,Al día,CABA
P0427,C0550,Automotriz,54000.0,1.62,12,2023-11-06,Al día,Santa Fe
P0428,C0800,Automotriz,60000.0,1.59,48,2024-09-14,Al día,Santa Fe
P0429,C0142,PyME,263000.0,0.82,60,2024-11-04,30 días mora,Mendoza
P0430,C0784,Personal,138000.0,1.12,48,2023-12-30,Al día,Tucumán
P0431,C0481,Personal,56000.0,1.75,12,2023-03-12,Al día,Buenos Aires
P0432,C0648,Personal,265000.0,1.18,36,2023-09-06,30 días mora,CABA
P0433,C0661,Personal,44000.0,1.39,60,2024-08-29,Al día,Mendoza
P0434,C0138,Hipotecario,26000.0,0.82,48,2024-01-31,30 días mora,Tucumán
P0435,C0685,Personal,23000.0,1.13,12,2024-02-23,Al día,Buenos Aires
P0436,C0857,Personal,102000.0,0.89,48,2023-10-08,Al día,Córdoba
P0437,C0251,PyME,592000.0,1.45,60,2024-03-12,90+ días mora,Buenos Aires
P0438,C0919,Automotriz,84000.0,0.6,36,2024-01-13,Al día,CABA
P0439,C0172,Hipotecario,329000.0,1.44,48,2023-05-01,Al día,Buenos Aires
P0440,C0803,Personal,73000.0,0.66,48,2024-12-09,30 días mora,CABA
P0441,C0425,Personal,136000.0,0.62,60,2023-10-21,30 días mora,Buenos Aires
P0442,C0931,Personal,274000.0,0.66,24,2024-05-19,30 días mora,Buenos Aires
P0443,C0284,Personal,286000.0,1.74,48,2024-04-16,Al día,CABA
P0444,C0739,Personal,42000.0,1.53,60,2024-05-06,Cancelado,Buenos Aires
P0445,C0092,Automotriz,316000.0,0.66,12,2023-05-01,Al día,Santa Fe
P0446,C0004,Personal,125000.0,1.38,24,2024-07-25,Al día,Buenos Aires
P0447,C0955,Personal,528000.0,1.33,48,2023-03-11,Al día,CABA
P0448,C0292,Consumo,308000.0,1.75,48,2024-08-06,Al día,Santa Fe
P0449,C0011,Hipotecario,772000.0,1.23,60,2024-04-20,Al día,Mendoza
P0450,C0650,Personal,1604000.0,1.53,60,2023-07-24,Al día,Buenos Aires
P0451,C0540,Consumo,320000.0,1.36,48,2023-10-30,Al día,Santa Fe
P0452,C0147,PyME,574000.0,1.07,36,2023-06-09,30 días mora,Santa Fe
P0453,C0936,Consumo,130000.0,0.71,12,2023-01-27,90+ días mora,Buenos Aires
P0454,C0766,Personal,230000.0,1.53,48,2023-04-09,Al día,Córdoba
P0455,C0337,PyME,405000.0,1.71,24,2024-07-20,Al día,CABA
P0456,C0478,Hipotecario,434000.0,0.88,48,2023-09-06,Al día,Buenos Aires
P0457,C0422,Consumo,263000.0,0.82,24,2023-08-24,30 días mora,Mendoza
P0458,C0897,Consumo,282000.0,0.7,60,2023-12-17,Al día,Córdoba
P0459,C0387,Personal,1068000.0,1.72,48,2023-07-13,Al día,Buenos Aires
P0460,C0531,Consumo,114000.0,1.63,24,2024-11-24,Al día,Córdoba
P0461,C0779,Personal,160000.0,0.57,24,2024-12-07,60 días mora,Buenos Aires
P0462,C0699,Personal,134000.0,0.74,12,2024-04-09,Al día,Santa Fe
P0463,C0017,Hipotecario,89000.0,1.22,36,2023-06-08,Al día,CABA
P0464,C0607,Consumo,264000.0,0.57,36,2023-12-24,Al día,CABA
P0465,C0701,Consumo,325000.0,1.3,36,2023-08-15,Al día,Buenos Aires
P0466,C0950,Automotriz,494000.0,1.1,12,2024-08-08,30 días mora,Santa Fe
P0467,C0694,PyME,17000.0,1.11,12,2023-12-18,60 días mora,Santa Fe
P0468,C0164,Automotriz,204000.0,1.08,24,2023-01-20,60 días mora,Mendoza
P0469,C0233,Consumo,418000.0,0.58,12,2024-03-31,60 días mora,Mendoza
P0470,C0163,Automotriz,199000.0,1.43,24,2024-11-24,Al día,Buenos Aires
P0471,C0103,Personal,326000.0,0.66,48,2023-11-05,30 días mora,Buenos Aires
P0472,C0988,Hipotecario,153000.0,0.8,24,2023-11-07,Al día,CABA
P0473,C0598,Personal,357000.0,0.72,36,2024-04-25,Al día,Córdoba
P0474,C0652,Personal,30000.0,1.19,12,2024-10-11,Al día,Rosario
P0475,C0189,Automotriz,130000.0,1.23,12,2024-11-30,Al día,Córdoba
P0476,C0192,Personal,179000.0,0.94,60,2024-08-30,30 días mora,CABA
P0477,C0663,Personal,253000.0,0.76,12,2024-09-24,90+ días mora,Buenos Aires
P0478,C0968,Automotriz,277000.0,1.58,48,2024-03-10,Al día,Mendoza
P0479,C0062,PyME,452000.0,1.78,36,2024-09-30,30 días mora,Buenos Aires
P0480,C0446,Hipotecario,884000.0,1.3,24,2024-11-11,Al día,Santa Fe
P0481,C0340,Hipotecario,333000.0,1.39,12,2024-07-29,30 días mora,Buenos Aires
P0482,C0451,Automotriz,46000.0,1.12,24,2023-09-12,Al día,Santa Fe
P0483,C0528,Personal,181000.0,0.77,24,2024-11-11,Al día,Buenos Aires
P0484,C0019,Hipotecario,72000.0,1.44,36,2024-07-29,Al día,CABA
P0485,C0796,Personal,148000.0,1.57,24,2023-06-03,30 días mora,Buenos Aires
P0486,C0633,Personal,135000.0,1.7,24,2024-08-08,Al día,Buenos Aires
P0487,C0248,Consumo,64000.0,0.81,12,2024-06-16,Al día,Buenos Aires
P0488,C0558,PyME,179000.0,1.54,24,2024-12-25,60 días mora,Buenos Aires
P0489,C0051,Personal,209000.0,1.01,48,2024-08-06,Al día,CABA
P0490,C0131,Hipotecario,75000.0,1.5,60,2023-09-08,60 días mora,Santa Fe
P0491,C0401,Consumo,930000.0,0.81,48,2023-09-01,30 días mora,Rosario
P0492,C0042,Hipotecario,240000.0,0.93,36,2023-11-21,Al día,Buenos Aires
P0493,C0905,Hipotecario,193000.0,0.76,36,2024-06-20,Al día,Buenos Aires
P0494,C0111,Consumo,64000.0,1.38,12,2023-11-05,Al día,Buenos Aires
P0495,C0024,Personal,157000.0,1.72,12,2023-11-10,Al día,Buenos Aires
P0496,C0210,Automotriz,411000.0,1.69,48,2024-09-02,30 días mora,Mendoza
P0497,C0960,Personal,237000.0,1.54,60,2023-04-15,Al día,CABA
P0498,C0203,Consumo,428000.0,1.5,12,2024-03-28,Al día,Mendoza
P0499,C0802,Personal,203000.0,1.64,12,2024-06-09,30 días mora,Santa Fe
P0500,C0903,Hipotecario,499000.0,1.4,24,2024-08-08,Al día,Córdoba
P0501,C0894,Automotriz,48000.0,1.33,36,2024-03-04,Al día,Córdoba
P0502,C0471,Automotriz,76000.0,1.03,12,2023-05-06,Al día,Tucumán
P0503,C0713,Hipotecario,415000.0,1.57,48,2023-10-23,Al día,Santa Fe
P0504,C0624,Personal,323000.0,1.6,60,2024-09-05,Al día,CABA
P0505,C0028,Consumo,61000.0,0.73,36,2024-07-28,Al día,Buenos Aires
P0506,C0406,Personal,97000.0,0.95,24,2023-11-27,Al día,Buenos Aires
P0507,C0541,Personal,1015000.0,0.85,60,2024-06-21,Al día,CABA
P0508,C0687,Consumo,683000.0,1.33,12,2023-06-03,Al día,Mendoza
P0509,C0516,Personal,124000.0,1.41,12,2024-05-24,Cancelado,Córdoba
P0510,C0782,Personal,24000.0,1.18,36,2023-02-05,90+ días mora,CABA
P0511,C0961,Personal,76000.0,0.89,48,2023-07-11,30 días mora,Mendoza
P0512,C0023,Personal,390000.0,0.64,36,2023-05-22,Al día,Santa Fe
P0513,C0477,Automotriz,229000.0,1.04,12,2023-06-08,Al día,CABA
P0514,C0353,Personal,91000.0,0.76,12,2023-09-20,Al día,Buenos Aires
P0515,C0207,Automotriz,731000.0,1.71,12,2023-02-12,90+ días mora,Buenos Aires
P0516,C0426,Personal,123000.0,0.62,60,2024-07-13,Al día,Rosario
P0517,C0265,Personal,192000.0,1.58,48,2023-12-07,Al día,Buenos Aires
P0518,C0591,Personal,268000.0,1.09,48,2023-05-23,Al día,Buenos Aires
P0519,C0838,Hipotecario,169000.0,1.24,24,2024-08-29,30 días mora,Córdoba
P0520,C0069,Hipotecario,602000.0,0.7,12,2024-05-02,Al día,CABA
P0521,C0414,Personal,531000.0,1.48,12,2023-10-24,Al día,CABA
P0522,C0506,Consumo,113000.0,1.22,12,2023-09-07,Al día,Mendoza
P0523,C0597,Consumo,116000.0,0.94,24,2024-11-24,Al día,CABA
P0524,C0545,Automotriz,95000.0,1.56,24,2024-03-10,Al día,Córdoba
P0525,C0396,Personal,451000.0,0.88,12,2024-03-06,Al día,Córdoba
P0526,C0705,Consumo,418000.0,1.28,48,2024-07-16,Al día,Mendoza
P0527,C0777,Personal,89000.0,1.17,48,2024-11-27,30 días mora,CABA
P0528,C0367,Consumo,387000.0,1.16,36,2024-11-11,Cancelado,Córdoba
P0529,C0824,PyME,169000.0,1.39,24,2023-02-05,Al día,Buenos Aires
P0530,C0239,Automotriz,19000.0,0.9,48,2024-07-12,90+ días mora,Mendoza
P0531,C0432,Automotriz,253000.0,1.65,12,2023-07-24,Al día,Rosario
P0532,C0194,Consumo,77000.0,1.03,12,2023-01-08,Al día,CABA
P0533,C0316,Personal,152000.0,1.43,24,2023-06-09,Al día,CABA
P0534,C0440,Personal,57000.0,1.27,48,2024-12-27,Al día,Córdoba
P0535,C0693,Automotriz,99000.0,1.29,60,2024-03-12,Al día,Buenos Aires
P0536,C0143,Hipotecario,151000.0,1.15,12,2024-02-22,90+ días mora,Mendoza
P0537,C0927,Personal,1556000.0,0.93,36,2024-11-25,Al día,Buenos Aires
P0538,C0135,Consumo,39000.0,1.3,60,2023-02-18,Al día,Buenos Aires
P0539,C0576,PyME,828000.0,0.94,12,2023-09-27,Al día,Córdoba
P0540,C0319,PyME,25000.0,1.16,36,2024-09-14,Al día,Santa Fe
P0541,C0486,Automotriz,165000.0,1.61,48,2023-05-06,Al día,Córdoba
P0542,C0562,Consumo,66000.0,1.38,36,2023-08-03,Al día,Tucumán
P0543,C0923,Personal,86000.0,1.78,12,2023-03-13,Al día,Santa Fe
P0544,C0893,Consumo,73000.0,0.61,60,2024-12-15,30 días mora,Córdoba
P0545,C0247,Personal,103000.0,1.58,12,2023-01-04,90+ días mora,Buenos Aires
P0546,C0352,Consumo,309000.0,1.33,24,2024-01-21,90+ días mora,CABA
P0547,C0791,Hipotecario,57000.0,0.78,36,2023-09-07,Al día,Buenos Aires
P0548,C0489,Consumo,57000.0,0.92,36,2024-01-15,30 días mora,CABA
P0549,C0886,Personal,161000.0,0.87,12,2024-05-30,Al día,Buenos Aires
P0550,C0025,Automotriz,537000.0,0.76,24,2024-08-30,30 días mora,Buenos Aires
P0551,C0085,Automotriz,321000.0,1.61,24,2023-06-05,30 días mora,Tucumán
P0552,C0215,Automotriz,214000.0,0.76,36,2024-05-02,Al día,Córdoba
P0553,C0221,Personal,530000.0,1.05,48,2024-02-25,90+ días mora,Buenos Aires
P0554,C0257,Hipotecario,178000.0,1.65,36,2024-07-22,Al día,Buenos Aires
P0555,C0079,Consumo,201000.0,1.16,60,2023-04-18,Al día,Santa Fe
P0556,C0765,Hipotecario,303000.0,0.57,24,2023-10-05,Cancelado,Buenos Aires
P0557,C0206,Consumo,90000.0,1.73,24,2023-10-21,Al día,Mendoza
P0558,C0328,Automotriz,105000.0,0.62,12,2023-05-30,30 días mora,Rosario
P0559,C0812,Personal,20000.0,1.04,48,2023-10-06,Al día,Córdoba
P0560,C0605,PyME,684000.0,1.49,24,2023-11-29,30 días mora,Santa Fe
P0561,C0130,Automotriz,233000.0,1.7,12,2024-11-02,Al día,Mendoza
P0562,C0205,Automotriz,73000.0,1.68,24,2024-12-12,Al día,CABA
P0563,C0299,Personal,145000.0,0.61,60,2024-04-01,90+ días mora,CABA
P0564,C0680,Consumo,57000.0,1.51,48,2024-07-20,60 días mora,Buenos Aires
P0565,C0279,Hipotecario,320000.0,1.66,24,2023-11-28,90+ días mora,Mendoza
P0566,C0662,Hipotecario,553000.0,0.87,24,2023-02-04,30 días mora,Córdoba
P0567,C0515,Automotriz,176000.0,0.58,24,2023-07-27,60 días mora,CABA
P0568,C0806,Consumo,203000.0,1.6,60,2024-12-30,90+ días mora,Santa Fe
P0569,C0764,Hipotecario,154000.0,0.61,48,2024-11-12,Al día,Rosario
P0570,C0620,Automotriz,2263000.0,0.91,36,2023-01-19,Al día,Buenos Aires
P0571,C0044,Consumo,48000.0,1.3,36,2023-08-26,Al día,Santa Fe
P0572,C0552,PyME,424000.0,1.2,60,2023-04-08,Al día,Buenos Aires
P0573,C0348,Consumo,72000.0,1.13,36,2024-01-05,90+ días mora,Santa Fe
P0574,C0363,Personal,108000.0,1.15,12,2023-12-25,Al día,CABA
P0575,C0521,Personal,306000.0,1.27,60,2023-05-02,Al día,Mendoza
P0576,C0211,Consumo,548000.0,0.65,36,2023-03-22,Al día,Buenos Aires
P0577,C0113,Automotriz,186000.0,1.35,24,2024-12-11,30 días mora,Córdoba
P0578,C0990,Personal,756000.0,1.45,60,2024-02-23,90+ días mora,Buenos Aires
P0579,C0815,Personal,579000.0,0.79,24,2024-07-03,Al día,Mendoza
P0580,C0808,Automotriz,420000.0,0.96,48,2024-07-08,Al día,Buenos Aires
P0581,C0106,Automotriz,2740000.0,1.22,60,2023-10-03,90+ días mora,Córdoba
P0582,C0218,PyME,338000.0,0.57,36,2023-03-18,60 días mora,Córdoba
P0583,C0855,Consumo,269000.0,1.18,24,2023-09-22,Cancelado,Córdoba
P0584,C0380,Hipotecario,56000.0,0.83,36,2024-08-09,Al día,Córdoba
P0585,C0424,Consumo,637000.0,1.75,60,2023-12-21,Al día,Mendoza
P0586,C0690,Personal,253000.0,0.67,60,2023-02-09,60 días mora,Santa Fe
P0587,C0613,Automotriz,136000.0,0.99,12,2024-01-24,30 días mora,Córdoba
P0588,C0917,Consumo,151000.0,1.17,12,2024-07-30,Al día,Buenos Aires
P0589,C0520,Consumo,298000.0,0.66,12,2023-08-27,Al día,Tucumán
P0590,C0959,Hipotecario,589000.0,1.48,24,2023-05-25,Al día,CABA
P0591,C0856,PyME,181000.0,0.63,24,2023-03-26,Al día,Buenos Aires
P0592,C0333,Personal,564000.0,1.34,60,2023-05-28,Al día,CABA
P0593,C0654,Personal,127000.0,1.22,12,2023-08-19,Al día,Buenos Aires
P0594,C0635,Personal,32000.0,0.77,36,2024-03-01,Cancelado,CABA
P0595,C0671,Consumo,66000.0,0.88,48,2024-07-22,Al día,Mendoza
P0596,C0656,Personal,47000.0,1.26,12,2023-06-06,Al día,CABA
P0597,C0148,Consumo,202000.0,1.55,48,2023-12-26,90+ días mora,Santa Fe
P0598,C0965,Personal,61000.0,0.57,48,2023-09-25,Al día,Córdoba
P0599,C0821,Automotriz,156000.0,1.27,12,2024-12-02,Al día,Buenos Aires
P0600,C0151,Personal,279000.0,1.15,24,2023-07-12,Al día,Tucumán
P0601,C0872,Personal,198000.0,1.73,60,2023-12-13,Al día,Córdoba
P0602,C0006,Personal,118000.0,1.09,48,2024-08-21,Al día,Buenos Aires
P0603,C0443,Personal,63000.0,1.69,24,2023-05-05,Al día,CABA
P0604,C0313,Personal,59000.0,1.49,60,2024-10-12,Al día,Buenos Aires
P0605,C0254,Personal,125000.0,1.16,36,2023-06-21,30 días mora,Córdoba
P0606,C0986,PyME,378000.0,0.6,60,2024-01-31,Al día,Mendoza
P0607,C0094,PyME,18000.0,1.68,36,2024-06-23,90+ días mora,Buenos Aires
P0608,C0819,Consumo,152000.0,1.72,60,2024-09-02,Al día,Buenos Aires
P0609,C0596,Consumo,12000.0,1.35,12,2023-06-23,90+ días mora,Santa Fe
P0610,C0933,Automotriz,784000.0,1.7,12,2024-03-23,Al día,Tucumán
P0611,C0842,Personal,26000.0,1.08,60,2023-03-25,90+ días mora,Buenos Aires
P0612,C0753,PyME,34000.0,1.38,36,2023-10-28,Al día,Santa Fe
P0613,C0264,Personal,39000.0,0.62,60,2023-10-28,Al día,Santa Fe
P0614,C0987,Automotriz,192000.0,1.51,12,2023-01-22,Al día,Buenos Aires
P0615,C0384,Hipotecario,151000.0,0.93,48,2024-12-08,60 días mora,Tucumán
P0616,C0064,Personal,217000.0,1.71,48,2023-01-04,Al día,Buenos Aires
P0617,C0345,Hipotecario,145000.0,0.9,36,2024-11-05,Al día,Tucumán
P0618,C0220,Automotriz,97000.0,1.12,48,2023-09-04,Al día,Mendoza
P0619,C0752,Personal,72000.0,1.09,48,2024-07-12,Al día,Rosario
P0620,C0427,Personal,74000.0,1.73,24,2024-11-23,Al día,Córdoba
P0621,C0920,Automotriz,154000.0,1.55,60,2024-08-15,30 días mora,CABA
P0622,C0995,Hipotecario,279000.0,0.85,36,2023-08-21,Al día,Tucumán
P0623,C0336,Automotriz,54000.0,1.33,60,2024-06-04,30 días mora,Buenos Aires
P0624,C0902,Consumo,86000.0,1.52,24,2023-08-17,Al día,Buenos Aires
P0625,C0126,Automotriz,142000.0,1.52,36,2024-02-03,30 días mora,Buenos Aires
P0626,C0155,Consumo,2281000.0,0.74,48,2024-12-11,30 días mora,Santa Fe
P0627,C0834,PyME,725000.0,1.35,12,2024-08-01,Al día,Mendoza
P0628,C0304,Consumo,33000.0,1.13,60,2024-06-04,Al día,Mendoza
P0629,C0994,Consumo,107000.0,0.57,12,2023-11-07,Cancelado,Buenos Aires
P0630,C0237,Consumo,104000.0,0.78,24,2023-01-31,60 días mora,Buenos Aires
P0631,C0801,Personal,152000.0,1.56,60,2024-12-06,Al día,Santa Fe
P0632,C0947,Automotriz,116000.0,0.88,60,2024-11-28,Al día,Buenos Aires
P0633,C0881,Personal,689000.0,1.65,12,2023-03-31,60 días mora,Córdoba
P0634,C0070,Automotriz,244000.0,0.62,24,2023-11-12,Al día,Córdoba
P0635,C0830,Personal,107000.0,0.79,48,2023-12-01,Al día,CABA
P0636,C0783,Hipotecario,133000.0,1.74,12,2023-12-24,Al día,Mendoza
P0637,C0240,Automotriz,223000.0,0.56,12,2023-05-01,Al día,Buenos Aires
P0638,C0604,Automotriz,51000.0,1.66,60,2023-09-18,60 días mora,Mendoza
P0639,C0032,Consumo,208000.0,0.88,12,2024-03-17,Al día,Buenos Aires
P0640,C0310,Consumo,790000.0,1.49,48,2023-12-28,Al día,Buenos Aires
P0641,C0629,Automotriz,75000.0,0.75,60,2023-11-21,Al día,Buenos Aires
P0642,C0274,Automotriz,57000.0,0.77,48,2024-09-26,Cancelado,Buenos Aires
P0643,C0696,Consumo,266000.0,1.59,48,2024-08-20,Al día,Buenos Aires
P0644,C0937,Consumo,81000.0,0.89,48,2024-10-27,60 días mora,Buenos Aires
P0645,C0445,Consumo,183000.0,1.33,48,2024-07-29,Al día,CABA
P0646,C0334,PyME,71000.0,0.77,48,2023-10-03,Al día,CABA
P0647,C0603,Personal,71000.0,1.41,12,2024-02-24,Al día,CABA
P0648,C0770,Hipotecario,127000.0,0.62,12,2024-08-17,Cancelado,Buenos Aires
P0649,C0674,Automotriz,555000.0,1.17,24,2024-07-22,Al día,Córdoba
P0650,C0622,Personal,123000.0,0.91,24,2024-02-02,30 días mora,CABA
P0651,C0908,Consumo,33000.0,0.78,24,2024-11-10,Al día,Buenos Aires
P0652,C0417,Personal,394000.0,0.58,24,2024-05-22,30 días mora,Buenos Aires
P0653,C0168,Hipotecario,143000.0,0.85,48,2024-03-19,60 días mora,Buenos Aires
P0654,C0075,Consumo,216000.0,1.22,60,2023-05-02,30 días mora,Buenos Aires
P0655,C0709,Hipotecario,63000.0,0.99,36,2023-06-28,Al día,CABA
P0656,C0559,Personal,236000.0,1.23,36,2023-07-22,Al día,Tucumán
P0657,C0342,Consumo,140000.0,1.53,36,2024-06-15,Cancelado,Buenos Aires
P0658,C0938,Consumo,141000.0,1.63,60,2024-06-17,60 días mora,Buenos Aires
P0659,C0653,Personal,33000.0,0.92,12,2023-12-02,60 días mora,Mendoza
P0660,C0003,Personal,55000.0,0.94,36,2024-12-14,Al día,CABA
